"contamination","dataset_id","engine","variant","quantity","reference_value","observed_value","absolute_difference","allowed_difference","numerically_equivalent"
"none",3,"robust","global_row_order","estimate",0.00187584226487429,0.00187574223414452,1.00030729767529e-07,1.00187584226487e-05,TRUE
"none",3,"robust","global_row_order","std_error",0.0406338840462707,0.040633815304431,6.87418396788653e-08,1.04063388404627e-05,TRUE
"none",3,"robust","global_row_order","p_value",0.96418727116957,0.964189118869467,1.84769989641786e-06,1.96418727116957e-05,TRUE
"none",3,"robust","global_row_order","conf_low",-0.0900443895827086,-0.0900443341085934,5.54741152458682e-08,1.09004438958271e-05,TRUE
"none",3,"robust","global_row_order","conf_high",0.0937960741124572,0.0937958185768824,2.55535574783528e-07,1.09379607411246e-05,TRUE
"none",3,"robustbase","exact_repeat","estimate",0.0129796265958497,0.0129796265958497,0,1.01297962659585e-05,TRUE
"none",3,"robustbase","exact_repeat","std_error",0.0413135999744737,0.0413135999744737,0,1.04131359997447e-05,TRUE
"none",3,"robustbase","exact_repeat","p_value",0.760549961766753,0.760549961766753,0,1.76054996176675e-05,TRUE
"none",3,"robustbase","exact_repeat","conf_low",-0.0804782295073858,-0.0804782295073858,0,1.08047822950739e-05,TRUE
"none",3,"robustbase","exact_repeat","conf_high",0.106437482699085,0.106437482699085,0,1.10643748269909e-05,TRUE
"none",3,"robustbase","within_cluster_row_order","estimate",0.0129796265958497,0.0129796267538987,1.58049026990903e-10,1.01297962659585e-05,TRUE
"none",3,"robustbase","within_cluster_row_order","std_error",0.0413135999744737,0.0413135999594825,1.49912582347866e-11,1.04131359997447e-05,TRUE
"none",3,"robustbase","within_cluster_row_order","p_value",0.760549961766753,0.760549958871629,2.89512369633371e-09,1.76054996176675e-05,TRUE
"none",3,"robustbase","within_cluster_row_order","conf_low",-0.0804782295073858,-0.0804782293154242,1.91961613271729e-10,1.08047822950739e-05,TRUE
"none",3,"robustbase","within_cluster_row_order","conf_high",0.106437482699085,0.106437482823222,1.24136451118417e-10,1.10643748269909e-05,TRUE
