"condition_id","replicate","replicate_seed","n_clusters","random_slope_sd","contamination","contamination_label","rsen_estimate","rsen_std_error","rsen_df","rsen_boundary_fit","rsen_estimated_random_slope_sd","rsen_total_elapsed_sec","rsen_usable","rsea_estimate","rsea_std_error","rsea_df","rsea_boundary_fit","rsea_estimated_random_slope_sd","rsea_total_elapsed_sec","rsea_usable","lmer_estimate","lmer_std_error","lmer_df","lmer_boundary_fit","lmer_estimated_random_slope_sd","lmer_total_elapsed_sec","lmer_usable","rsea_minus_rsen_slope_sd","rsea_minus_rsen_estimate","rsea_to_rsen_se_ratio","lmer_minus_rsea_slope_sd","rsea_to_rsen_runtime_ratio","boundary_transition"
"RMM023",2,386603050,20,0.1,"none","Clean",-0.0118852809276889,0.0364603265641873,536.68368069323,TRUE,0,57.1399999999999,TRUE,-0.0119488159091175,0.0360109827130826,755.036440173411,TRUE,0,41.11,TRUE,-0.0148329857859255,0.0425328113204117,18.5903998253006,FALSE,0.106683154481417,0.490000000000009,TRUE,0,-6.35349814286697e-05,0.987675813865416,0.106683154481417,0.719460973048654,"RSEn_boundary__RSEa_boundary"
"RMM023",3,60044151,20,0.1,"none","Clean",0.0153779626817007,0.0510074911707644,23.5170421913453,FALSE,0.148153060043921,75.4399999999996,TRUE,0.0171596531715677,0.0371109945040149,971.363137464553,TRUE,0,62.72,TRUE,0.0283976580687441,0.0481790605002364,18.6504686023369,FALSE,0.142371604647462,0.490000000000009,TRUE,-0.148153060043921,0.00178169048986703,0.727559690786861,0.142371604647462,0.831389183457057,"RSEn_positive__RSEa_boundary"
"RMM023",4,1335545557,20,0.1,"none","Clean",-0.0186703269218369,0.0379540503250135,872.521593668443,TRUE,0,49.3099999999999,TRUE,-0.0183856161356746,0.036991234512351,1190.79783648094,TRUE,0,30.1500000000001,TRUE,-0.0162921511521734,0.0382701059768063,18.5669667657442,FALSE,0.0605759543677528,0.519999999999982,TRUE,0,0.000284710786162289,0.974632066817177,0.0605759543677528,0.611437842222675,"RSEn_boundary__RSEa_boundary"
"RMM023",5,516863982,20,0.1,"none","Clean",0.0149710464027431,0.0403889779847237,723.306700721904,TRUE,0,48.6199999999999,TRUE,0.0149335166494328,0.03958132171964,952.11385686178,TRUE,0,32.7,TRUE,0.00921327127593989,0.0387624503195523,17.8166240718935,TRUE,0,0.539999999999964,TRUE,0,-3.75297533102628e-05,0.980003052679641,0,0.672562731386263,"RSEn_boundary__RSEa_boundary"
"RMM025",1,493606906,20,0.1,"vertical","Vertical outliers",-0.0474595211043629,0.0435469145672283,447.012679482528,TRUE,0,49.52,TRUE,-0.0472961065088119,0.0469415752327793,636.301869874487,TRUE,0,36.73,TRUE,-0.00524742357199036,0.0767713058255829,18.6430469755822,FALSE,0.191349734023194,0.470000000000027,TRUE,0,0.000163414595551012,1.07795410304696,0.191349734023194,0.741720516962844,"RSEn_boundary__RSEa_boundary"
"RMM025",2,386603050,20,0.1,"vertical","Vertical outliers",-0.0236737610514673,0.040373772612873,656.792501803186,TRUE,0,58.9400000000001,TRUE,-0.024013442588594,0.042916209105239,817.598930616794,TRUE,0,38.5400000000002,TRUE,-0.0251929061696231,0.0567782673879976,18.0555809864935,TRUE,0,0.460000000000036,TRUE,0,-0.000339681537126751,1.06297247762166,0,0.653885307091961,"RSEn_boundary__RSEa_boundary"
"RMM025",3,60044151,20,0.1,"vertical","Vertical outliers",0.0396015375515259,0.0520791199336438,5.91483486442298,FALSE,0.132170555005923,94.4200000000001,TRUE,0.0441901610944127,0.044191180648159,975.027858960909,TRUE,0,37.3299999999999,TRUE,0.117127188350233,0.0660348851532955,18.2720882575102,FALSE,0.1201247759116,0.509999999999991,TRUE,-0.132170555005923,0.00458862354288676,0.848539312961988,0.1201247759116,0.395361152298241,"RSEn_positive__RSEa_boundary"
"RMM025",4,1335545557,20,0.1,"vertical","Vertical outliers",-0.0166701294125963,0.0414588041003222,811.36972307107,TRUE,0,61.1100000000006,TRUE,-0.0169780074651321,0.0433787790213531,1085.07217416537,TRUE,0,35.5,TRUE,-0.0456330578637609,0.0618959597902577,18.4460671684353,TRUE,0,0.480000000000018,TRUE,0,-0.0003078780525358,1.04631042700569,0,0.580919653084596,"RSEn_boundary__RSEa_boundary"
"RMM025",5,516863982,20,0.1,"vertical","Vertical outliers",0.00359347835387544,0.0447019287107496,672.175835214427,TRUE,0,50.0299999999997,TRUE,0.0032431704871406,0.0469648642277968,916.618889145865,TRUE,0,33,TRUE,-0.0059495406517863,0.0628980011494173,17.8176117046759,TRUE,0,0.5300000000002,TRUE,0,-0.000350307866734846,1.05062277137279,0,0.659604237457529,"RSEn_boundary__RSEa_boundary"
"RMM027",1,1486507527,40,0.05,"none","Clean",-0.0125518948691295,0.0260363533658209,880.743623612865,TRUE,0,225.94,TRUE,-0.0126936563874015,0.0256938735184833,1136.87201847583,TRUE,0,109.89,TRUE,-0.00736015021460953,0.0313528228429473,38.4147995671057,FALSE,0.119402322752634,0.759999999999991,TRUE,0,-0.000141761518272049,0.986846090060091,0.119402322752634,0.48636806231743,"RSEn_boundary__RSEa_boundary"
