"condition_id","n_clusters","cluster_size","beta","contamination","contamination_prop","contamination_size","leverage_size","reps","condition_seed","model","warning_count","warning_rate","error_count","error_rate","failure_count","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec"
"011",20,40,0.2,"vertical",0.05,10,10,5,20260739,"cats",0,0,0,0,0,0,,20,0.0659999999999997
"011",20,40,0.2,"vertical",0.05,10,10,5,20260739,"cats_trunc",0,0,0,0,0,0,,20,0.0520000000000039
"011",20,40,0.2,"vertical",0.05,10,10,5,20260739,"cats_robust",0,0,0,0,0,0,,20,0.132000000000002
"011",20,40,0.2,"vertical",0.05,10,10,5,20260739,"cats_robustbase",0,0,0,0,0,0,,20,0.257999999999998
"012",20,40,0.2,"bad_leverage",0.05,10,10,5,20260740,"ri",0,0,0,0,0,0,0,20,0.871999999999994
"012",20,40,0.2,"bad_leverage",0.05,10,10,5,20260740,"cr2",0,0,0,0,0,0,,20,0.108000000000001
"012",20,40,0.2,"bad_leverage",0.05,10,10,5,20260740,"cats",0,0,0,0,0,0,,20,0.0779999999999973
"012",20,40,0.2,"bad_leverage",0.05,10,10,5,20260740,"cats_trunc",0,0,0,0,0,0,,20,0.080000000000004
"012",20,40,0.2,"bad_leverage",0.05,10,10,5,20260740,"cats_robust",0,0,0,0,0,0,,20,0.162
"012",20,40,0.2,"bad_leverage",0.05,10,10,5,20260740,"cats_robustbase",0,0,0,0,0,0,,20,0.365999999999997
"013",40,40,0,"none",0.05,10,10,5,20260741,"ri",0,0,0,0,0,0,0,40,0.862
"013",40,40,0,"none",0.05,10,10,5,20260741,"cr2",0,0,0,0,0,0,,40,0.186000000000004
"013",40,40,0,"none",0.05,10,10,5,20260741,"cats",0,0,0,0,0,0,,40,0.128
"013",40,40,0,"none",0.05,10,10,5,20260741,"cats_trunc",0,0,0,0,0,0,,40,0.217999999999998
"013",40,40,0,"none",0.05,10,10,5,20260741,"cats_robust",0,0,0,0,0,0,,40,0.243999999999997
"013",40,40,0,"none",0.05,10,10,5,20260741,"cats_robustbase",0,0,0,0,0,0,,40,0.474000000000004
"014",40,40,0,"vertical",0.05,10,10,5,20260742,"ri",0,0,0,0,0,0,0,40,0.911999999999998
"014",40,40,0,"vertical",0.05,10,10,5,20260742,"cr2",0,0,0,0,0,0,,40,0.190000000000001
"014",40,40,0,"vertical",0.05,10,10,5,20260742,"cats",0,0,0,0,0,0,,40,0.128
"014",40,40,0,"vertical",0.05,10,10,5,20260742,"cats_trunc",0,0,0,0,0,0,,40,0.115999999999997
"014",40,40,0,"vertical",0.05,10,10,5,20260742,"cats_robust",0,0,0,0,0,0,,40,0.271999999999997
"014",40,40,0,"vertical",0.05,10,10,5,20260742,"cats_robustbase",0,0,0,0,0,0,,40,0.478000000000003
"015",40,40,0,"bad_leverage",0.05,10,10,5,20260743,"ri",0,0,0,0,0,0,0,40,0.893999999999994
"015",40,40,0,"bad_leverage",0.05,10,10,5,20260743,"cr2",0,0,0,0,0,0,,40,0.202000000000004
"015",40,40,0,"bad_leverage",0.05,10,10,5,20260743,"cats",0,0,0,0,0,0,,40,0.125999999999999
"015",40,40,0,"bad_leverage",0.05,10,10,5,20260743,"cats_trunc",0,0,0,0,0,0,,40,0.131999999999994
"015",40,40,0,"bad_leverage",0.05,10,10,5,20260743,"cats_robust",0,0,0,0,0,0,,40,0.255999999999995
"015",40,40,0,"bad_leverage",0.05,10,10,5,20260743,"cats_robustbase",0,0,0,0,0,0,,40,0.525999999999999
"016",40,40,0.2,"none",0.05,10,10,5,20260744,"ri",0,0,0,0,0,0,0,40,0.961999999999989
"016",40,40,0.2,"none",0.05,10,10,5,20260744,"cr2",0,0,0,0,0,0,,40,0.17600000000001
"016",40,40,0.2,"none",0.05,10,10,5,20260744,"cats",0,0,0,0,0,0,,40,0.166000000000003
"016",40,40,0.2,"none",0.05,10,10,5,20260744,"cats_trunc",0,0,0,0,0,0,,40,0.139999999999998
"016",40,40,0.2,"none",0.05,10,10,5,20260744,"cats_robust",0,0,0,0,0,0,,40,0.342000000000002
"016",40,40,0.2,"none",0.05,10,10,5,20260744,"cats_robustbase",0,0,0,0,0,0,,40,0.480000000000001
"017",40,40,0.2,"vertical",0.05,10,10,5,20260745,"ri",0,0,0,0,0,0,0,40,0.812000000000006
"017",40,40,0.2,"vertical",0.05,10,10,5,20260745,"cr2",0,0,0,0,0,0,,40,0.162
"017",40,40,0.2,"vertical",0.05,10,10,5,20260745,"cats",0,0,0,0,0,0,,40,0.127999999999997
"017",40,40,0.2,"vertical",0.05,10,10,5,20260745,"cats_trunc",0,0,0,0,0,0,,40,0.121999999999991
"017",40,40,0.2,"vertical",0.05,10,10,5,20260745,"cats_robust",0,0,0,0,0,0,,40,0.254000000000002
"017",40,40,0.2,"vertical",0.05,10,10,5,20260745,"cats_robustbase",0,0,0,0,0,0,,40,0.472000000000003
"018",40,40,0.2,"bad_leverage",0.05,10,10,5,20260746,"ri",0,0,0,0,0,0,0,40,0.85
"018",40,40,0.2,"bad_leverage",0.05,10,10,5,20260746,"cr2",0,0,0,0,0,0,,40,0.187999999999994
"018",40,40,0.2,"bad_leverage",0.05,10,10,5,20260746,"cats",0,0,0,0,0,0,,40,0.127999999999997
"018",40,40,0.2,"bad_leverage",0.05,10,10,5,20260746,"cats_trunc",0,0,0,0,0,0,,40,0.128000000000014
"018",40,40,0.2,"bad_leverage",0.05,10,10,5,20260746,"cats_robust",0,0,0,0,0,0,,40,0.265999999999991
"018",40,40,0.2,"bad_leverage",0.05,10,10,5,20260746,"cats_robustbase",0,0,0,0,0,0,,40,0.488
