"source","message","count"
"overall_warning_field","Cluster 22: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 28: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 23: Max iteration for final coefficients reached.",2
"overall_warning_field","Cluster 23: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 29: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 23: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 37: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 25: Max iteration for final coefficients reached.",2
"overall_warning_field","Cluster 25: Max iteration for refinement reached. | Cluster 30: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 26: Max iteration for final coefficients reached.",2
"overall_warning_field","Cluster 26: Max iteration for refinement reached. | Cluster 31: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 27: M-step did NOT converge. Returning unconverged SM-estimate",2
"overall_warning_field","Cluster 28: M-step did NOT converge. Returning unconverged SM-estimate",2
"overall_warning_field","Cluster 29: Max iteration for refinement reached. | Cluster 39: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 29: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 33: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 3: Max iteration for refinement reached. | Cluster 5: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 3: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 13: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 3: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 29: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 3: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 38: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 3: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 4: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 3: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 8: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 31: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 35: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 35: M-step did NOT converge. Returning unconverged SM-estimate",2
"overall_warning_field","Cluster 35: Max iteration for refinement reached. | Cluster 36: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 36: Max iteration for final coefficients reached.",2
"overall_warning_field","Cluster 37: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 40: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 4: Max iteration for refinement reached. | Cluster 18: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 4: Max iteration for refinement reached. | Cluster 29: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 4: Max iteration for refinement reached. | Cluster 9: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 4: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 7: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 5: Max iteration for final coefficients reached. | Cluster 9: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 5: Max iteration for refinement reached. | Cluster 31: Max iteration for final coefficients reached.",2
"overall_warning_field","Cluster 5: Max iteration for refinement reached. | Cluster 7: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 6: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 14: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 6: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 15: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 6: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 18: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 6: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 19: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 7: Max iteration for refinement reached. | Cluster 15: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 7: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 20: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
