"condition_id","n_clusters","beta","contamination","contamination_label","replicate","replicate_seed","method","cluster","intercept","x","retained","warning","error"
"S1C001",10,0,"none","Clean",356,1563046212,"cats_robustbase","2",-0.280228476875969,-0.483068805901995,TRUE,,
"S1C001",10,0,"none","Clean",356,1563046212,"cats_robustbase","3",0.58430378180664,-0.0838847613381456,TRUE,,
"S1C001",10,0,"none","Clean",356,1563046212,"cats_robustbase","4",-0.674768535110867,-0.221473350142456,TRUE,,
"S1C001",10,0,"none","Clean",356,1563046212,"cats_robustbase","5",0.474091110502346,0.0559545472725212,TRUE,,
"S1C001",10,0,"none","Clean",356,1563046212,"cats_robustbase","6",0.424696048579909,-0.156437614344152,TRUE,"S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",
"S1C001",10,0,"none","Clean",356,1563046212,"cats_robustbase","7",0.031787678693952,-0.16513410079368,TRUE,,
"S1C001",10,0,"none","Clean",356,1563046212,"cats_robustbase","8",0.681270346768839,0.0821584410852943,TRUE,,
"S1C001",10,0,"none","Clean",356,1563046212,"cats_robustbase","9",-1.70751317616512,0.130527732952288,TRUE,,
"S1C001",10,0,"none","Clean",356,1563046212,"cats_robustbase","10",0.618756477282933,0.299575159076117,TRUE,,
"S1C001",10,0,"none","Clean",389,68443342,"cats_robustbase","1",-0.800078866593943,0.109214842560993,TRUE,,
"S1C001",10,0,"none","Clean",389,68443342,"cats_robustbase","2",-0.447651276223997,0.0537801591449682,TRUE,,
"S1C001",10,0,"none","Clean",389,68443342,"cats_robustbase","3",-1.04004767000919,0.138633859927502,TRUE,,
"S1C001",10,0,"none","Clean",389,68443342,"cats_robustbase","4",0.558859364469925,0.0343358429111835,TRUE,,
"S1C001",10,0,"none","Clean",389,68443342,"cats_robustbase","5",1.23309822083899,0.0799343773864783,TRUE,,
"S1C001",10,0,"none","Clean",389,68443342,"cats_robustbase","6",0.506055941524342,-0.0885431572759995,TRUE,,
"S1C001",10,0,"none","Clean",389,68443342,"cats_robustbase","7",-0.829474781375141,-0.237260476346373,TRUE,"S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",
"S1C001",10,0,"none","Clean",389,68443342,"cats_robustbase","8",-1.3235770384314,-0.0895667155482789,TRUE,,
"S1C001",10,0,"none","Clean",389,68443342,"cats_robustbase","9",-1.1851087207133,-0.158787131510836,TRUE,"S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",
"S1C001",10,0,"none","Clean",389,68443342,"cats_robustbase","10",-0.965201105753885,-0.0780011994908243,TRUE,,
"S1C001",10,0,"none","Clean",396,2037537286,"cats_robust","1",-0.833495363845306,0.0225261673300522,TRUE,,
"S1C001",10,0,"none","Clean",396,2037537286,"cats_robust","2",-0.717319225550042,-0.0248262643030564,TRUE,,
"S1C001",10,0,"none","Clean",396,2037537286,"cats_robust","3",-0.988433241131398,-0.403347163661044,TRUE,,
"S1C001",10,0,"none","Clean",396,2037537286,"cats_robust","4",0.303598043217378,0.0385955848388846,TRUE,,
"S1C001",10,0,"none","Clean",396,2037537286,"cats_robust","5",0.243730187696147,-0.217680743386903,TRUE,,
