"condition_id","n_clusters","cluster_size","beta","effect_label","contamination","contamination_label","contamination_prop","contamination_size","leverage_size","reps","condition_seed","model","requested_reps","observed_reps","successful_reps","fit_success_rate","failure_rate","overall_warning_field_rate","error_rep_rate","singular_rate","template_warning_rate","cluster_warning_rep_rate","cluster_error_rep_rate","dropped_cluster_rep_rate","mean_cluster_warning_count","maximum_cluster_warning_count","mean_cluster_error_count","maximum_cluster_error_count","mean_dropped_cluster_count","maximum_dropped_cluster_count","mean_retained_clusters","minimum_retained_clusters","mean_runtime_sec","method_label","method_order"
"S1C015",40,40,0,"Null","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260817,"cats_trunc",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,40,40,0.187045000000051,"Truncated CATs",4
"S1C015",40,40,0,"Null","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260817,"cats_robust",2000,2000,2000,100,0,100,0,,0.15,5.9,0,0,0.061,2,0,0,0,0,40,40,0.370215000000037,"Robust CATs: lmRob",5
"S1C015",40,40,0,"Null","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260817,"cats_robustbase",2000,2000,2000,100,0,100,0,,0,9.9,0,0,0.103,2,0,0,0,0,40,40,0.735979999999965,"Robust CATs: lmrob",6
"S1C016",40,40,0.1,"Alternative","none","Clean",0.05,0,0,2000,20260817,"ri",2000,2000,2000,100,0,0,0,0,0,,,,,,,,,,40,40,0.588830000000045,"Random intercept (KR)",1
"S1C016",40,40,0.1,"Alternative","none","Clean",0.05,0,0,2000,20260817,"cr2",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,40,40,0.225050000000043,"OLS with CR2",2
"S1C016",40,40,0.1,"Alternative","none","Clean",0.05,0,0,2000,20260817,"cats",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,40,40,0.18722500000002,"CATs",3
"S1C016",40,40,0.1,"Alternative","none","Clean",0.05,0,0,2000,20260817,"cats_trunc",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,39.9995,39,0.188169999999944,"Truncated CATs",4
"S1C016",40,40,0.1,"Alternative","none","Clean",0.05,0,0,2000,20260817,"cats_robust",2000,2000,2000,100,0,100,0,,0.1,8.85,0,0,0.092,2,0,0,0,0,40,40,0.37255999999995,"Robust CATs: lmRob",5
"S1C016",40,40,0.1,"Alternative","none","Clean",0.05,0,0,2000,20260817,"cats_robustbase",2000,2000,2000,100,0,100,0,,0,13.85,0,0,0.1495,2,0,0,0,0,40,40,0.741070000000022,"Robust CATs: lmrob",6
"S1C017",40,40,0.1,"Alternative","vertical","Vertical outliers",0.05,6,0,2000,20260817,"ri",2000,2000,2000,100,0,0,0,0,0,,,,,,,,,,40,40,0.595470000000019,"Random intercept (KR)",1
